nameOfIssuer,nameOfIssuer_link,cusip,value,fund_name
SELECT SECTOR SPDR TR,"<a href=""http://www.google.com/search?q=stock price SELECT SECTOR SPDR TR"" 
        target=""_blank"">SELECT SECTOR SPDR TR</a>",81369Y704,1051945316,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'GATES CAPITAL MANAGEMENT, INC']"
COINBASE GLOBAL INC,"<a href=""http://www.google.com/search?q=stock price COINBASE GLOBAL INC"" 
        target=""_blank"">COINBASE GLOBAL INC</a>",19260Q107,1030458608,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc', 'III Capital Management ', 'TWO SIGMA INVESTMENTS, LP']"
PFIZER INC,"<a href=""http://www.google.com/search?q=stock price PFIZER INC"" 
        target=""_blank"">PFIZER INC</a>",717081103,1000941930,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
EXXON MOBIL CORP,"<a href=""http://www.google.com/search?q=stock price EXXON MOBIL CORP"" 
        target=""_blank"">EXXON MOBIL CORP</a>",30231G102,959262909,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
SPDR DOW JONES INDL AVERAGE,"<a href=""http://www.google.com/search?q=stock price SPDR DOW JONES INDL AVERAGE"" 
        target=""_blank"">SPDR DOW JONES INDL AVERAGE</a>",78467X109,925140476,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
ROYAL CARIBBEAN GROUP,"<a href=""http://www.google.com/search?q=stock price ROYAL CARIBBEAN GROUP"" 
        target=""_blank"">ROYAL CARIBBEAN GROUP</a>",V7780T103,907297583,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc', 'TWO SIGMA INVESTMENTS, LP']"
SALESFORCE INC,"<a href=""http://www.google.com/search?q=stock price SALESFORCE INC"" 
        target=""_blank"">SALESFORCE INC</a>",79466L302,897859994,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
ALIBABA GROUP HLDG LTD,"<a href=""http://www.google.com/search?q=stock price ALIBABA GROUP HLDG LTD"" 
        target=""_blank"">ALIBABA GROUP HLDG LTD</a>",01609W102,816412830,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
CHEVRON CORP NEW,"<a href=""http://www.google.com/search?q=stock price CHEVRON CORP NEW"" 
        target=""_blank"">CHEVRON CORP NEW</a>",166764100,813509392,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
HOME DEPOT INC,"<a href=""http://www.google.com/search?q=stock price HOME DEPOT INC"" 
        target=""_blank"">HOME DEPOT INC</a>",437076102,791277615,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
