nameOfIssuer,titleOfClass,cusip,value,shrsOrPrnAmt,investmentDiscretion,votingAuthority,sshPrnamt,sshPrnamtType,cik,filingDate,reportDate,fund_name,figi,putCall,otherManager
WILLIS TOWERS WATSON PLC LTD,SHS,G96629103,187492550,"{'sshPrnamt': '806836', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '806836', 'Shared': '0', 'None': '0'}",806836,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
ADOBE SYSTEMS INCORPORATED,COM,00724F101,520324968,"{'sshPrnamt': '1064081', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1064081', 'Shared': '0', 'None': '0'}",1064081,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000BB5006,,
AMERICAN TOWER CORP NEW,COM,03027X100,1308115021,"{'sshPrnamt': '6744947', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '6744947', 'Shared': '0', 'None': '0'}",6744947,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000B9Y2N0,,
BERKSHIRE HATHAWAY INC DEL,CL B NEW,084670702,5835874,"{'sshPrnamt': '17114', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '17114', 'Shared': '0', 'None': '0'}",17114,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000DWG505,,
BROOKFIELD ASSET MANAGMT LTD,CL A LMT VTG SHS,113004105,120459649,"{'sshPrnamt': '3691684', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '3691684', 'Shared': '0', 'None': '0'}",3691684,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG01BPHNXZ3,,
BROOKFIELD CORP,CL A LTD VT SH,11271J107,615940132,"{'sshPrnamt': '18304313', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '18304313', 'Shared': '0', 'None': '0'}",18304313,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000C9KL89,,
CARMAX INC,COM,143130102,238612462,"{'sshPrnamt': '2850806', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2850806', 'Shared': '0', 'None': '0'}",2850806,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000BLMZK6,,
COSTAR GROUP INC,COM,22160N109,632917270,"{'sshPrnamt': '7111430', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '7111430', 'Shared': '0', 'None': '0'}",7111430,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000D7JKW9,,
DANAHER CORPORATION,COM,235851102,429672000,"{'sshPrnamt': '1790300', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1790300', 'Shared': '0', 'None': '0'}",1790300,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000BH3JF8,,
DIGITALBRIDGE GROUP INC,CL A COM,25401T603,73853480,"{'sshPrnamt': '5020631', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '5020631', 'Shared': '0', 'None': '0'}",5020631,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG00D30HGP6,,
