nameOfIssuer,cusip,value,sshPrnamt
HCM ACQUISITION CO,G4365A127,508,50300
HEALTHWELL ACQUISITION CORP,42227R109,4264,437310
HEARTLAND MEDIA ACQUISITION,42237V108,4482,450000
HENNESSY CAPITAL INVST CORP,42600H108,4365,450000
HH&L ACQUISITION CO,G39714129,318,32020
HNR ACQUISITION CORP,40472A128,5006,499573
HOME PLATE ACQUISITION CORP,43734R111,1284,130527
HUNTSMAN CORP,447011107,12060,491455
INCEPTION GROWTH ACQUSTN LTD,45333D112,6229,627600
INCEPTION GROWTH ACQUSTN LTD,45333D120,156,1755200
INFINITE ACQUISITION CORP,G48028107,4487,450000
INFLECTION POINT ACQUSTN COR,G47874121,3124,318121
INTEGRAL ACQUISITION CORP 1,45827K119,1004,101400
INTERNATIONAL GAME TECHNOLOG,G4863A108,18156,1149095
INTERNATIONAL MEDIA ACQUISIT,459867115,9135,900000
INTERNATIONAL MEDIA ACQUISIT,459867123,136,1358803
INTERNATIONAL SEAWAYS INC,Y41053102,20066,571188
INTERPRIVATE II ACQUISITION,46064Q108,2367,240525
INTERPRIVATE III FINANCIAL P,46064R106,4895,500000
IRON SPARK I INC,46301G103,2435,245210
ITIQUIRA ACQUISITION CORP,G49773115,4965,500000
IX ACQUISITION CORP,G5000D111,4970,500000
JACKSON ACQUISITION CO,46653C106,2923,293442
JACKSON FINANCIAL INC,46817M107,12598,453967
JAGUAR GLOBAL GROWTH CORP I,G5S11A106,3206,321291
JAGUAR GLOBAL GROWTH CORP I,G5S11A130,1904,190773
JAGUAR GLOBAL GROWTH CORP I,G5S11A155,137,952759
JAWS HURRICANE ACQUISITN COR,47201B103,1949,199927
JUPITER ACQUISITION CORP,482082104,4356,450000
JUPITER WELLNESS ACQUISITION,48208E116,153,1850000
KAIROS ACQUISITION CORP,G52110106,4975,500000
KAIROUS ACQUISITION CORP LTD,G52131136,106,1500000
KERNEL GROUP HOLDINGS INC,G5259L129,4960,500000
KEYARCH ACQUISITION CORP,G5260A112,5770,578756
KEYARCH ACQUISITION CORP,G5260A120,279,1991305
KISMET ACQUISITION THREE COR,G5276C102,4950,500000
KISMET ACQUISITION TWO CORP,G52807115,4653,468593
KNIGHTSWAN ACQUISITION CORP,499103109,4514,450000
LAKESHORE ACQUISITION II COR,G5352N113,264,1428404
LARIMAR THERAPEUTICS INC,517125100,4137,1292812
LAUREATE EDUCATION INC,518613203,16870,1599057
LEGATO MERGER CORP II,52473Y104,4970,500000
LEO HLDGS CORP II,G5463R128,3791,380612
LF CAPITAL ACQUISITION CORP,50202D110,950,94457
LIONHEART III CORP,536262116,573,56760
LIVE OAK CRESTVIEW CLIMATE A,538086109,4365,450000
LMF ACQUISITION OPPORTUNIT I,502015118,5004,486737
LOGISTICS INNOVTN TECHNLGS C,54141L100,1954,200000
MACONDRAY CAP ACQUISITN CORP,G5853A115,641,63984
MAGNACHIP SEMICONDUCTOR CORP,55933J203,11323,1105805
MANA CAP ACQUISITION CORP,56168P112,420,1500000
MAQUIA CAPITAL ACQUISITION C,56564V119,5170,500000
MARBLEGATE ACQUISITION CORP,56608A113,787,79100
MARLIN TECHNOLOGY CORP,G58411110,1251,125685
MBIA INC,55262C100,3203,348099
MCLAREN TECHNOLOGY ACQ CORP,58176U117,2665,265927
MDH ACQUISITION CORP,55283P114,3813,387115
MERCATO PARTNERS ACQUISITION,58759A116,280,27900
MERCURY ECOM ACQUISITION COR,589381110,3186,320496
META PLATFORMS INC,30303M102,11198,82533
METAL SKY STAR ACQUISITION C,G6053N113,127,1951094
METAL SKY STAR ACQUISITION C,G6053N121,9463,951094
METALS ACQUISITION CORP,G60405100,4895,500000
MINORITY EQUALITY OPPORTUNIT,60436Q118,5070,500000
MISSION ADVANCEMENT CORP,60501L119,4910,500000
MOBIV ACQUISITION CORP,60742N205,4117,406810
MODEL PERFORMANCE ACQU CORP,G6246M121,180,1500000
MODEL PERFORMANCE ACQU CORP,G6246M139,2552,247035
MONEYGRAM INTL INC,60935Y208,6705,644745
MONTEREY BIO ACQUISITION COR,61240F116,2995,296288
MONTEREY CAP ACQUISITION COR,61244M109,7832,791900
MONTEREY CAP ACQUISITION COR,61244M117,12777,1291900
MONTEREY CAP ACQUISITION COR,61244M125,211,2291900
MONUMENT CIRCLE ACQUISITN CO,61531M119,2042,206918
MOUNTAIN CREST ACQSITN CORP,62404B115,102,551803
MOUNTAIN CREST ACQUSITN CRP,62403K116,188,1103380
MURPHY CANYON ACQUISITION CO,626642110,5050,500000
NCR CORP NEW,62886E108,17087,898853
NEWHOLD INVESTMENT CORP II,651450108,1093,110960
NEXPOINT DIVERSIFIED REL ET,65340G205,5612,447199
NOBLE ROCK ACQUISITION CORP,G6546R119,1621,163429
NORTHVIEW ACQUISITION CORP,66718N111,4970,500000
NORTHVIEW ACQUISITION CORP,66718N129,113,1500000
NOVA VISION ACQUISITION CORP,G6759A118,915,179152
NOVA VISION ACQUISITION CORP,G6759A134,224,1500000
NUBIA BRAND INTERNATIONAL CO,67022R111,2168,215701
O-I GLASS INC,67098H104,13081,1010141
OCA ACQUISITION CORP,670865112,1811,180195
OCEANTECH ACQUISITIONS I COR,675507107,200,19658
OCEANTECH ACQUISITIONS I COR,675507115,9559,938958
OMNILIT ACQUISITION CORP,68218C116,834,82857
ORION OFFICE REIT INC,68629Y103,8540,976056
OXBRIDGE ACQUISITION CORP,G6855L117,4638,460167
OXUS ACQUISITION CORP,G6859L121,8430,833790
PACIFICO ACQUISITION CORP,69512X111,68,270494
PAPAYA GRWT OPPORTUNITY CORP,69882P102,2949,294000
PAPAYA GRWT OPPORTUNITY CORP,69882P110,1523,151797
PARABELLUM ACQUISITION CORP,69901P117,0,269542
PARSEC CAPITAL ACQUISITION,70184A116,4959,490000
PEPPERLIME HEALTH ACQUSTN CO,G70021111,151,15129
PFSWEB INC,717098206,7193,771819
PG&E CORP,69331C108,30053,2404263
PHOENIX BIOTECH ACQUISITION,71902K113,1650,163538
PHP VENTURES ACQUISITION COR,69291C114,6546,648074
PHP VENTURES ACQUISITION COR,69291C122,50,1110737
PINE TECHNOLOGY ACQUISITN CO,722850112,843,85817
PONO CAP TWO INC,73245B206,4559,450000
POWERED BRANDS,G7209M116,4990,500000
PRIME NO ACQUISITION I CORP,74168P115,4990,500000
PRIME NO ACQUISITION I CORP,74168P123,101,1124274
PROOF ACQUISITION CORP I,74349W104,4373,436900
QOMOLANGMA ACQUISITION CORP,74738V204,2448,245000
QUANTUM FINTECH ACQUISTIN CO,74767A113,4930,1000000
REDWOODS ACQUISITION CORP,758083117,9439,950549
REDWOODS ACQUISITION CORP,758083125,191,1950549
RELATIVITY ACQUISITION CORP,75944B114,9529,950000
