nameOfIssuer,cusip,value,sshPrnamt
G&P ACQUISITION CORP,36146G111,17724,1775340
GALATA ACQUISITION CORP,G3R23A108,209790,21000000
GAMES & ESPORTS EXPRNC ACQ C,G3731J127,103740,10221288
GAMING & HOSPITALITY ACQU CO,364681114,101094,10262532
GENESIS UNICORN CAPITAL CORP,37187C118,361284,36237600
GLOBAL BLOCKCHAIN ACQUI CORP,37961B104,186564,18900000
GLOBAL BLOCKCHAIN ACQUI CORP,37961B112,4410,63000000
GLOBAL BLOCKCHAIN ACQUI CORP,37961B120,207270,21000000
GLOBAL STAR ACQUISITION INC,37962G201,109200,10920000
GLOBALINK INVT INC,37892F117,13944,81900000
GLOBALINK INVT INC,37892F125,397404,39900000
GOAL ACQUISITIONS CORP,38021H115,281022,28530600
GOLDEN ARROW MERGER CORP,380799114,85680,8733774
GOLDENBRIDGE ACQUISITION LTD,G3970D120,145908,28444836
GOLDENBRIDGE ACQUISITION LTD,G3970D138,9450,63000000
GOLDENSTONE ACQUISITION LTD,38136Y102,79002,7949424
GOLDENSTONE ACQUISITION LTD,38136Y110,293706,29548890
GOLDENSTONE ACQUISITION LTD,38136Y128,12264,62829606
GORES HOLDINGS IX INC,38287A101,182952,18900000
GRAF ACQUISITION CORP IV,384272100,75264,7719600
GSR II METEORA ACQUISITN COR,36263W105,187866,18900000
GSR II METEORA ACQUISITN COR,36263W113,8190,6300000
GX ACQUISITION CORP II,36260F113,78876,8038800
HAINAN MANASLU ACQUISTN CORP,G4233U107,31374,3150000
HAINAN MANASLU ACQUISTN CORP,G4233U115,4620,66150000
HAINAN MANASLU ACQUISTN CORP,G4233U131,240534,24150000
HCM ACQUISITION CO,G4365A127,21336,2112600
HEALTHWELL ACQUISITION CORP,42227R109,179088,18367020
HEARTLAND MEDIA ACQUISITION,42237V108,188244,18900000
HENNESSY CAPITAL INVST CORP,42600H108,183330,18900000
HH&L ACQUISITION CO,G39714129,13356,1344840
HNR ACQUISITION CORP,40472A128,210252,20982066
HOME PLATE ACQUISITION CORP,43734R111,53928,5482134
HUNTSMAN CORP,447011107,506520,20641110
INCEPTION GROWTH ACQUSTN LTD,45333D112,261618,26359200
INCEPTION GROWTH ACQUSTN LTD,45333D120,6552,73718400
INFINITE ACQUISITION CORP,G48028107,188454,18900000
INFLECTION POINT ACQUSTN COR,G47874121,131208,13361082
INTEGRAL ACQUISITION CORP 1,45827K119,42168,4258800
INTERNATIONAL GAME TECHNOLOG,G4863A108,762552,48261990
INTERNATIONAL MEDIA ACQUISIT,459867115,383670,37800000
INTERNATIONAL MEDIA ACQUISIT,459867123,5712,57069726
INTERNATIONAL SEAWAYS INC,Y41053102,842772,23989896
INTERPRIVATE II ACQUISITION,46064Q108,99414,10102050
INTERPRIVATE III FINANCIAL P,46064R106,205590,21000000
IRON SPARK I INC,46301G103,102270,10298820
ITIQUIRA ACQUISITION CORP,G49773115,208530,21000000
IX ACQUISITION CORP,G5000D111,208740,21000000
JACKSON ACQUISITION CO,46653C106,122766,12324564
JACKSON FINANCIAL INC,46817M107,529116,19066614
JAGUAR GLOBAL GROWTH CORP I,G5S11A106,134652,13494222
JAGUAR GLOBAL GROWTH CORP I,G5S11A130,79968,8012466
JAGUAR GLOBAL GROWTH CORP I,G5S11A155,5754,40015878
JAWS HURRICANE ACQUISITN COR,47201B103,81858,8396934
JUPITER ACQUISITION CORP,482082104,182952,18900000
JUPITER WELLNESS ACQUISITION,48208E116,6426,77700000
KAIROS ACQUISITION CORP,G52110106,208950,21000000
KAIROUS ACQUISITION CORP LTD,G52131136,4452,63000000
KERNEL GROUP HOLDINGS INC,G5259L129,208320,21000000
KEYARCH ACQUISITION CORP,G5260A112,242340,24307752
KEYARCH ACQUISITION CORP,G5260A120,11718,83634810
KISMET ACQUISITION THREE COR,G5276C102,207900,21000000
KISMET ACQUISITION TWO CORP,G52807115,195426,19680906
KNIGHTSWAN ACQUISITION CORP,499103109,189588,18900000
LAKESHORE ACQUISITION II COR,G5352N113,11088,59992968
LARIMAR THERAPEUTICS INC,517125100,173754,54298104
LAUREATE EDUCATION INC,518613203,708540,67160394
LEGATO MERGER CORP II,52473Y104,208740,21000000
LEO HLDGS CORP II,G5463R128,159222,15985704
LF CAPITAL ACQUISITION CORP,50202D110,39900,3967194
LIONHEART III CORP,536262116,24066,2383920
LIVE OAK CRESTVIEW CLIMATE A,538086109,183330,18900000
LMF ACQUISITION OPPORTUNIT I,502015118,210168,20442954
LOGISTICS INNOVTN TECHNLGS C,54141L100,82068,8400000
MACONDRAY CAP ACQUISITN CORP,G5853A115,26922,2687328
MAGNACHIP SEMICONDUCTOR CORP,55933J203,475566,46443810
MANA CAP ACQUISITION CORP,56168P112,17640,63000000
MAQUIA CAPITAL ACQUISITION C,56564V119,217140,21000000
MARBLEGATE ACQUISITION CORP,56608A113,33054,3322200
MARLIN TECHNOLOGY CORP,G58411110,52542,5278770
MBIA INC,55262C100,134526,14620158
MCLAREN TECHNOLOGY ACQ CORP,58176U117,111930,11168934
MDH ACQUISITION CORP,55283P114,160146,16258830
MERCATO PARTNERS ACQUISITION,58759A116,11760,1171800
MERCURY ECOM ACQUISITION COR,589381110,133812,13460832
META PLATFORMS INC,30303M102,470316,3466386
METAL SKY STAR ACQUISITION C,G6053N113,5334,81945948
METAL SKY STAR ACQUISITION C,G6053N121,397446,39945948
METALS ACQUISITION CORP,G60405100,205590,21000000
MINORITY EQUALITY OPPORTUNIT,60436Q118,212940,21000000
MISSION ADVANCEMENT CORP,60501L119,206220,21000000
MOBIV ACQUISITION CORP,60742N205,172914,17086020
MODEL PERFORMANCE ACQU CORP,G6246M121,7560,63000000
MODEL PERFORMANCE ACQU CORP,G6246M139,107184,10375470
MONEYGRAM INTL INC,60935Y208,281610,27079290
MONTEREY BIO ACQUISITION COR,61240F116,125790,12444096
MONTEREY CAP ACQUISITION COR,61244M109,328944,33259800
MONTEREY CAP ACQUISITION COR,61244M117,536634,54259800
MONTEREY CAP ACQUISITION COR,61244M125,8862,96259800
MONUMENT CIRCLE ACQUISITN CO,61531M119,85764,8690556
MOUNTAIN CREST ACQSITN CORP,62404B115,4284,23175726
MOUNTAIN CREST ACQUSITN CRP,62403K116,7896,46341960
MURPHY CANYON ACQUISITION CO,626642110,212100,21000000
NCR CORP NEW,62886E108,717654,37751826
NEWHOLD INVESTMENT CORP II,651450108,45906,4660320
NEXPOINT DIVERSIFIED REL ET,65340G205,235704,18782358
NOBLE ROCK ACQUISITION CORP,G6546R119,68082,6864018
NORTHVIEW ACQUISITION CORP,66718N111,208740,21000000
NORTHVIEW ACQUISITION CORP,66718N129,4746,63000000
NOVA VISION ACQUISITION CORP,G6759A118,38430,7524384
NOVA VISION ACQUISITION CORP,G6759A134,9408,63000000
NUBIA BRAND INTERNATIONAL CO,67022R111,91056,9059442
O-I GLASS INC,67098H104,549402,42425922
OCA ACQUISITION CORP,670865112,76062,7568190
OCEANTECH ACQUISITIONS I COR,675507107,8400,825636
OCEANTECH ACQUISITIONS I COR,675507115,401478,39436236
OMNILIT ACQUISITION CORP,68218C116,35028,3479994
ORION OFFICE REIT INC,68629Y103,358680,40994352
OXBRIDGE ACQUISITION CORP,G6855L117,194796,19327014
OXUS ACQUISITION CORP,G6859L121,354060,35019180
PACIFICO ACQUISITION CORP,69512X111,2856,11360748
PAPAYA GRWT OPPORTUNITY CORP,69882P102,123858,12348000
PAPAYA GRWT OPPORTUNITY CORP,69882P110,63966,6375474
PARABELLUM ACQUISITION CORP,69901P117,0,11320764
PARSEC CAPITAL ACQUISITION,70184A116,208278,20580000
PEPPERLIME HEALTH ACQUSTN CO,G70021111,6342,635418
PFSWEB INC,717098206,302106,32416398
PG&E CORP,69331C108,1262226,100979046
PHOENIX BIOTECH ACQUISITION,71902K113,69300,6868596
PHP VENTURES ACQUISITION COR,69291C114,274932,27219108
PHP VENTURES ACQUISITION COR,69291C122,2100,46650954
PINE TECHNOLOGY ACQUISITN CO,722850112,35406,3604314
PONO CAP TWO INC,73245B206,191478,18900000
POWERED BRANDS,G7209M116,209580,21000000
PRIME NO ACQUISITION I CORP,74168P115,209580,21000000
PRIME NO ACQUISITION I CORP,74168P123,4242,47219508
PROOF ACQUISITION CORP I,74349W104,183666,18349800
QOMOLANGMA ACQUISITION CORP,74738V204,102816,10290000
QUANTUM FINTECH ACQUISTIN CO,74767A113,207060,42000000
REDWOODS ACQUISITION CORP,758083117,396438,39923058
REDWOODS ACQUISITION CORP,758083125,8022,81923058
RELATIVITY ACQUISITION CORP,75944B114,400218,39900000
RESOLUTE FST PRODS INC,76117W109,482790,24138954
RF ACQUISITION CORP,74954L112,393834,39904200
RF ACQUISITION CORP,74954L120,6552,81904200
RICE ACQUISITION CORP II,G75529100,185850,18869340
ROSECLIFF ACQUISITION CORP I,77732R111,39858,4045566
ROTH CH ACQUISITION V CO,77867R100,167706,16819824
RUMBLE INC,78137L113,44940,3667398
SAGALIAM ACQUISITION CORP,78661R114,8358,104580000
SANDBRIDGE X2 CORP,799792114,7938,809340
